,CloseTime,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume,QuoteVolume
0,1617235200,6472435,6604070,6304001,6508322,6443.21644706,41711974995.200226
1,1617321600,6509154,6579000,6417619,6498491,3701.55655015,24114703969.868534
2,1617408000,6498700,6643249,6470772,6539265,3944.60251166,25916342925.746353
3,1617494400,6539266,6608100,6315097,6345350,3470.207226,22547789617.378086
4,1617580800,6342046,6480000,6271610,6448651,3164.77644871,20216366788.95846
5,1617667200,6451312,6516681,6300000,6509889,3652.53026653,23429764740.17131
6,1617753600,6509889,6548671,6320000,6376618,3813.77668168,24546619109.81264
7,1617840000,6376880,6450000,6106666,6172602,5631.90317363,35325660951.81869
8,1617926400,6171677,6356405,6147354,6354541,3159.65933171,19775501515.467304
9,1618012800,6354721,6456666,6320002,6382007,2588.39120361,16534746432.857595
10,1618099200,6385000,6680000,6357968,6556004,5131.39880521,33678378200.709873
11,1618185600,6557693,6644789,6500000,6578585,2666.49315813,17502537115.1105
12,1618272000,6583124,6692364,6515000,6567250,4000.58610964,26387860975.27248
13,1618358400,6567250,6954154,6564000,6925000,5935.25366045,40369033589.260086
14,1618444800,6923799,7071867,6703607,6877778,7274.57136516,50406499573.386116
15,1618531200,6879778,6938000,6774444,6880000,4159.09751075,28520421188.625164
16,1618617600,6881458,6915178,6560000,6707828,5334.70505261,35869985422.912895
17,1618704000,6706940,6827470,6549000,6567503,3317.8394368,22192105210.432175
18,1618790400,6571721,6611776,5797000,6185181,10952.03339073,67234411294.23196
19,1618876800,6182434,6348722,5887019,6023463,5904.09636743,36109794395.893936
20,1618963200,6025484,6174210,5807688,6112204,4888.90971291,29265560423.671307
21,1619049600,6111083,6139500,5803315,5825183,4182.76192293,25038723417.355995
22,1619136000,5825183,6000000,5448784,5574141,6588.09828184,38010912347.29205
23,1619222400,5574632,5606531,5100000,5535002,8967.85404778,47887499618.54953
24,1619308800,5536415,5540802,5268758,5401874,4118.04346098,22263834127.941418
25,1619395200,5402544,5460000,5098668,5297648,4226.98928322,22552908893.361004
26,1619481600,5298000,5884300,5266282,5856666,6217.30741653,35393766645.84382
27,1619568000,5854780,6031310,5781853,5994000,3553.32322828,21026264223.3481
28,1619654400,5992831,6119333,5867199,5955697,3714.19939547,22191731000.450058
29,1619740800,5959020,5995000,5710002,5846080,3267.4966593,19191405156.460453
30,1619827200,5846400,6344444,5793207,6320000,4409.93576554,26687943992.95537
31,1619913600,6318001,6403456,6252546,6333500,2986.33345924,18905666417.328003
32,1620000000,6334997,6346990,6139670,6201631,2686.11482378,16716393399.983353
33,1620086400,6203237,6467023,6176937,6257167,3664.26400116,23251805824.1443
34,1620172800,6257169,6261369,5827566,5840000,4783.58993318,28933828541.73673
35,1620259200,5840000,6332095,5807461,6281414,4560.66109992,27918672658.773037
36,1620345600,6281492,6373447,6031111,6162986,4838.68813434,30167025100.792137
37,1620432000,6162000,6354999,6032750,6235370,4293.68317724,26543113524.43266
38,1620518400,6235392,6449998,6194003,6398654,4079.27179623,25933194466.574913
39,1620604800,6398651,6438337,6148054,6335150,4037.69177791,25463205563.951324
40,1620691200,6333342,6480000,5910000,6091288,6320.32436005,39601471017.61069
41,1620777600,6093219,6188000,5958888,6171417,4488.16443132,27208794187.64996
42,1620864000,6171417,6315238,5365485,5452989,6475.33890289,38916550294.32331
43,1620950400,5450289,5647000,5100799,5448830,9525.19358754,51930140903.8201
44,1621036800,5447418,5642201,5360000,5467820,4058.56808144,22278383638.186848
45,1621123200,5469175,5548009,5101940,5117180,4862.06367127,25899115425.111298
46,1621209600,5117368,5445000,4801201,5087808,7133.13840008,36652291297.25621
47,1621296000,5090970,5108888,4602001,4760000,10725.26413714,51691508522.29194
48,1621382400,4761073,5006485,4623700,4680000,6761.90320592,32585748450.461285
49,1621468800,4680874,4785009,3510000,4026138,17335.25207183,74115587067.43584
50,1621555200,4028827,4650483,3837625,4441300,14848.01175099,64153988396.61618
51,1621641600,4443338,4613441,3688888,4083948,13703.41252635,57712653982.10043
