,CloseTime,OpenPrice,HighPrice,LowPrice,ClosePrice,Volume,QuoteVolume
0,1631718000,375181,376660,373801,375536,554.2817475,208179558.9477572
1,1631721600,375639,383986,375007,382555,2245.6595256,854351877.8677968
2,1631725200,382641,386000,382478,383508,948.3551546,364608076.1548512
3,1631728800,383844,388693,383462,387001,404.0099546,156072645.2925777
4,1631732400,387001,388096,385755,387242,316.1830739,122365684.0909838
5,1631736000,386802,387200,384670,386479,356.5477443,137634760.7052155
6,1631739600,386478,390000,386291,388713,845.3381656,328521235.2656989
7,1631743200,388422,391000,388264,389271,473.1466274,184383581.0739617
8,1631746800,389501,392880,388500,392532,919.471243,359027643.3108107
9,1631750400,392827,395565,391355,395512,1248.3217169,490285269.7527217
10,1631754000,395531,396254,391637,392387,840.2172197,331117070.3006559
11,1631757600,392070,394480,391790,392489,410.4883683,161387645.3905703
12,1631761200,392451,394217,391350,391637,590.9042252,231986741.7666636
13,1631764800,391745,391821,385091,387600,1919.0876568,744221012.200089
14,1631768400,387825,401503,387224,399077,2930.7467744,1164902876.9891222
15,1631772000,399066,399624,395710,396500,670.5063638,266723122.8333949
16,1631775600,396500,398800,396422,397352,312.4379308,124242199.0748677
17,1631779200,397499,398980,396875,397652,403.0353031,160336078.9128646
18,1631782800,397643,397912,393417,397133,823.0339401,325704285.3919393
19,1631786400,396745,397800,395099,395477,318.099299,126057424.7782519
20,1631790000,395350,396168,390599,393235,966.1613072,380148069.2124109
21,1631793600,393235,396882,392351,396271,627.4105216,247923591.1815644
22,1631797200,396153,399000,393327,397961,897.9917278,356592800.8923936
23,1631800800,397959,399456,390265,390944,1092.4112811,431299398.9093752
24,1631804400,390666,393658,387601,392200,1455.8371218,569186676.4606684
25,1631808000,392022,398287,389886,396919,1126.5226019,445214782.5044967
26,1631811600,396708,398405,394645,394864,291.5204248,115642076.1896404
27,1631815200,395172,396599,388501,389487,445.8605309,174609686.5958991
28,1631818800,388948,393203,388601,393203,522.2997205,204071625.8354409
29,1631822400,393203,394138,390800,390800,143.1748698,56247671.2389756
30,1631826000,390800,392779,382555,383806,1103.4719245,426528783.7723993
31,1631829600,384042,390900,383367,390611,489.9096123,189975147.6516301
