日付け,終値,始値,高値,安値,出来高,前日比%
2022年3月4日,4756951 ,4906652 ,4911357 ,4723456 ,2.29K,(0)
2022年3月3日,4906652 ,5074978 ,5100000 ,4831715 ,2.06K,(0)
2022年3月2日,5075614 ,5104356 ,5219269 ,5000000 ,2.71K,(0)
2022年3月1日,5104356 ,4971301 ,5158220 ,4918253 ,3.37K,0 
2022年2月28日,4971301 ,4357255 ,5067007 ,4332564 ,4.07K,0 
2022年2月27日,4357255 ,4523999 ,4601938 ,4275000 ,2.61K,(0)
2022年2月26日,4523999 ,4532137 ,4650000 ,4463013 ,1.43K,(0)
2022年2月25日,4532137 ,4432578 ,4588196 ,4385161 ,2.81K,0 
2022年2月24日,4432578 ,4283443 ,4580134 ,3941150 ,5.38K,0 
2022年2月23日,4283443 ,4405370 ,4518470 ,4264106 ,1.82K,(0)
2022年2月22日,4405370 ,4245285 ,4425185 ,4171818 ,2.75K,0 
2022年2月21日,4245285 ,4414546 ,4547808 ,4223135 ,3.12K,(0)
2022年2月20日,4414087 ,4617713 ,4621001 ,4373391 ,1.58K,(0)
2022年2月19日,4617713 ,4606074 ,4663000 ,4570000 ,0.83K,0 
2022年2月18日,4606074 ,4657141 ,4725093 ,4543807 ,1.83K,(0)
2022年2月17日,4657141 ,5066235 ,5100000 ,4608756 ,2.60K,(0)
2022年2月16日,5066235 ,5157345 ,5158406 ,5004777 ,1.76K,(0)
2022年2月15日,5154017 ,4919826 ,5178444 ,4902943 ,2.38K,0 
2022年2月14日,4919826 ,4867892 ,4954074 ,4805791 ,2.49K,0 
2022年2月13日,4867892 ,4879636 ,4945000 ,4842570 ,1.46K,(0)
2022年2月12日,4879636 ,4891511 ,4966325 ,4823001 ,2.00K,(0)
2022年2月11日,4891511 ,5055494 ,5092968 ,4845113 ,3.57K,(0)
2022年2月10日,5054853 ,5132628 ,5310273 ,5028254 ,4.57K,(0)
2022年2月9日,5132628 ,5095904 ,5177720 ,4988350 ,2.96K,0 
2022年2月8日,5095904 ,5048882 ,5257291 ,4935097 ,4.28K,0 
2022年2月7日,5050001 ,4887930 ,5122480 ,4801240 ,3.98K,0 
2022年2月6日,4887930 ,4773827 ,4920000 ,4745860 ,1.78K,0 
2022年2月5日,4773827 ,4791341 ,4830522 ,4720500 ,2.29K,(0)
2022年2月4日,4790000 ,4289048 ,4811247 ,4257000 ,3.55K,0 
2022年2月3日,4291293 ,4225388 ,4292585 ,4167685 ,2.35K,0 
2022年2月2日,4223411 ,4443671 ,4462325 ,4189001 ,2.60K,(0)
2022年2月1日,4443671 ,4432335 ,4504419 ,4365074 ,2.96K,0 
2022年1月31日,4432335 ,4372479 ,4461762 ,4235851 ,2.68K,0 
2022年1月30日,4374133 ,4403373 ,4425020 ,4314001 ,1.88K,(0)
2022年1月29日,4403373 ,4346669 ,4466526 ,4309444 ,1.90K,0 
2022年1月28日,4346669 ,4292436 ,4378250 ,4184255 ,3.10K,0 
2022年1月27日,4292436 ,4230229 ,4299288 ,4080000 ,3.76K,0 
2022年1月26日,4229766 ,4214180 ,4406929 ,4161290 ,5.18K,0 
2022年1月25日,4214180 ,4185000 ,4277999 ,4069012 ,4.25K,0 
2022年1月24日,4185000 ,4128789 ,4278702 ,3758138 ,6.80K,0 
2022年1月23日,4128789 ,3990005 ,4154068 ,3944354 ,3.80K,0 
2022年1月22日,3990005 ,4146125 ,4184518 ,3875000 ,5.83K,(0)
2022年1月21日,4148838 ,4639435 ,4685214 ,4016025 ,6.69K,(0)
2022年1月20日,4639894 ,4770212 ,4961991 ,4624283 ,2.83K,(0)
2022年1月19日,4770212 ,4853936 ,4878174 ,4715000 ,2.46K,(0)
2022年1月18日,4853936 ,4839249 ,4889999 ,4736368 ,2.25K,0 
2022年1月17日,4839249 ,4929153 ,4940345 ,4770070 ,1.92K,(0)
2022年1月16日,4929153 ,4926803 ,4965994 ,4873732 ,1.48K,0 
2022年1月15日,4926803 ,4922738 ,5003864 ,4871922 ,1.33K,0 
2022年1月14日,4922738 ,4862078 ,4963844 ,4760000 ,2.68K,0 
2022年1月13日,4862046 ,5044043 ,5075850 ,4836495 ,2.54K,(0)
2022年1月12日,5044043 ,4933686 ,5083108 ,4901818 ,2.47K,0 
2022年1月11日,4933686 ,4824475 ,4979997 ,4780000 ,2.74K,0 
2022年1月10日,4824475 ,4846257 ,4895204 ,4581736 ,3.77K,(0)
2022年1月9日,4844534 ,4823412 ,4947009 ,4772503 ,2.01K,0 
2022年1月8日,4823412 ,4807016 ,4893068 ,4700832 ,2.61K,0 
2022年1月7日,4807016 ,5000000 ,5005364 ,4715529 ,4.09K,(0)
2022年1月6日,4998900 ,5051360 ,5086549 ,4919125 ,3.18K,(0)
